The search grammar fixture. One case per line: the query, a tab, and the
parsed form as JSON. The parser is done when every line matches.

A query is split on commas into groups. A result matches when ANY group
matches, and a group matches when EVERY term in it matches. A term is a tag
when it starts with #, a phrase when it is quoted, and a word otherwise.
Everything is compared in lower case.

dome	[[{"kind":"word","value":"dome"}]]
Dome HEADSET	[[{"kind":"word","value":"dome"},{"kind":"word","value":"headset"}]]
dome, headset	[[{"kind":"word","value":"dome"}],[{"kind":"word","value":"headset"}]]
#xr	[[{"kind":"tag","value":"xr"}]]
#XR #Planetarium	[[{"kind":"tag","value":"xr"},{"kind":"tag","value":"planetarium"}]]
"dome projection"	[[{"kind":"phrase","value":"dome projection"}]]
"dome projection" #xr, headset	[[{"kind":"phrase","value":"dome projection"},{"kind":"tag","value":"xr"}],[{"kind":"word","value":"headset"}]]
"unclosed run	[[{"kind":"phrase","value":"unclosed run"}]]
	[]
   	[]
,,	[]
#	[[{"kind":"word","value":"#"}]]
